Districts,Zone,Geographical Region,Development Region,Year AD,Year BS,Days
Achham,Seti,Hill,Far-Western,2008,2065,0
Achham,Seti,Hill,Far-Western,2009,2066,4
Achham,Seti,Hill,Far-Western,2010,2067,14
Achham,Seti,Hill,Far-Western,2011,2068,7
Achham,Seti,Hill,Far-Western,2012,2069,4
Achham,Seti,Hill,Far-Western,2013,2070,0
Arghakhanchi,Lumbini,Hill,Western,2008,2065,1
Arghakhanchi,Lumbini,Hill,Western,2009,2066,9
Arghakhanchi,Lumbini,Hill,Western,2010,2067,8
Arghakhanchi,Lumbini,Hill,Western,2011,2068,4
Arghakhanchi,Lumbini,Hill,Western,2012,2069,1
Arghakhanchi,Lumbini,Hill,Western,2013,2070,0
Baglung,Dhawalagiri,Hill,Western,2008,2065,0
Baglung,Dhawalagiri,Hill,Western,2009,2066,9
Baglung,Dhawalagiri,Hill,Western,2010,2067,8
Baglung,Dhawalagiri,Hill,Western,2011,2068,3
Baglung,Dhawalagiri,Hill,Western,2012,2069,3
Baglung,Dhawalagiri,Hill,Western,2013,2070,0
Baitadi,Mahakali,Hill,Far-Western,2008,2065,0
Baitadi,Mahakali,Hill,Far-Western,2009,2066,4
Baitadi,Mahakali,Hill,Far-Western,2010,2067,17
Baitadi,Mahakali,Hill,Far-Western,2011,2068,9
Baitadi,Mahakali,Hill,Far-Western,2012,2069,1
Baitadi,Mahakali,Hill,Far-Western,2013,2070,0
Bajhang,Seti,Mountain,Far-Western,2008,2065,0
Bajhang,Seti,Mountain,Far-Western,2009,2066,4
Bajhang,Seti,Mountain,Far-Western,2010,2067,14
Bajhang,Seti,Mountain,Far-Western,2011,2068,10
Bajhang,Seti,Mountain,Far-Western,2012,2069,0
Bajhang,Seti,Mountain,Far-Western,2013,2070,1
Bajura,Seti,Mountain,Far-Western,2008,2065,0
Bajura,Seti,Mountain,Far-Western,2009,2066,4
Bajura,Seti,Mountain,Far-Western,2010,2067,15
Bajura,Seti,Mountain,Far-Western,2011,2068,8
Bajura,Seti,Mountain,Far-Western,2012,2069,2
Bajura,Seti,Mountain,Far-Western,2013,2070,3
Banke,Bheri,Terai,Mid-Western,2008,2065,23
Banke,Bheri,Terai,Mid-Western,2009,2066,29
Banke,Bheri,Terai,Mid-Western,2010,2067,35
Banke,Bheri,Terai,Mid-Western,2011,2068,34
Banke,Bheri,Terai,Mid-Western,2012,2069,28
Banke,Bheri,Terai,Mid-Western,2013,2070,7
Bara,Narayani,Terai,Central,2008,2065,28
Bara,Narayani,Terai,Central,2009,2066,18
Bara,Narayani,Terai,Central,2010,2067,21
Bara,Narayani,Terai,Central,2011,2068,10
Bara,Narayani,Terai,Central,2012,2069,12
Bara,Narayani,Terai,Central,2013,2070,0
Bardiya,Bheri,Terai,Mid-Western,2008,2065,24
Bardiya,Bheri,Terai,Mid-Western,2009,2066,26
Bardiya,Bheri,Terai,Mid-Western,2010,2067,24
Bardiya,Bheri,Terai,Mid-Western,2011,2068,15
Bardiya,Bheri,Terai,Mid-Western,2012,2069,14
Bardiya,Bheri,Terai,Mid-Western,2013,2070,5
Bhaktapur,Bagmati,Hill,Central,2008,2065,3
Bhaktapur,Bagmati,Hill,Central,2009,2066,6
Bhaktapur,Bagmati,Hill,Central,2010,2067,12
Bhaktapur,Bagmati,Hill,Central,2011,2068,15
Bhaktapur,Bagmati,Hill,Central,2012,2069,1
Bhaktapur,Bagmati,Hill,Central,2013,2070,1
Bhojpur,Kosi,Hill,Eastern,2008,2065,6
Bhojpur,Kosi,Hill,Eastern,2009,2066,8
Bhojpur,Kosi,Hill,Eastern,2010,2067,10
Bhojpur,Kosi,Hill,Eastern,2011,2068,6
Bhojpur,Kosi,Hill,Eastern,2012,2069,3
Bhojpur,Kosi,Hill,Eastern,2013,2070,0
Chitawan,Narayani,Terai,Central,2008,2065,3
Chitawan,Narayani,Terai,Central,2009,2066,20
Chitawan,Narayani,Terai,Central,2010,2067,34
Chitawan,Narayani,Terai,Central,2011,2068,46
Chitawan,Narayani,Terai,Central,2012,2069,41
Chitawan,Narayani,Terai,Central,2013,2070,9
Dadeldhura,Mahakali,Hill,Far-Western,2008,2065,1
Dadeldhura,Mahakali,Hill,Far-Western,2009,2066,5
Dadeldhura,Mahakali,Hill,Far-Western,2010,2067,23
Dadeldhura,Mahakali,Hill,Far-Western,2011,2068,14
Dadeldhura,Mahakali,Hill,Far-Western,2012,2069,19
Dadeldhura,Mahakali,Hill,Far-Western,2013,2070,5
Dailekh,Bheri,Hill,Mid-Western,2008,2065,0
Dailekh,Bheri,Hill,Mid-Western,2009,2066,4
Dailekh,Bheri,Hill,Mid-Western,2010,2067,14
Dailekh,Bheri,Hill,Mid-Western,2011,2068,0
Dailekh,Bheri,Hill,Mid-Western,2012,2069,2
Dailekh,Bheri,Hill,Mid-Western,2013,2070,2
Dang,Rapti,Terai,Mid-Western,2008,2065,25
Dang,Rapti,Terai,Mid-Western,2009,2066,33
Dang,Rapti,Terai,Mid-Western,2010,2067,28
Dang,Rapti,Terai,Mid-Western,2011,2068,14
Dang,Rapti,Terai,Mid-Western,2012,2069,37
Dang,Rapti,Terai,Mid-Western,2013,2070,4
Darchaula,Mahakali,Mountain,Far-Western,2008,2065,0
Darchaula,Mahakali,Mountain,Far-Western,2009,2066,4
Darchaula,Mahakali,Mountain,Far-Western,2010,2067,16
Darchaula,Mahakali,Mountain,Far-Western,2011,2068,11
Darchaula,Mahakali,Mountain,Far-Western,2012,2069,2
Darchaula,Mahakali,Mountain,Far-Western,2013,2070,3
Dhading,Bagmati,Hill,Central,2008,2065,3
Dhading,Bagmati,Hill,Central,2009,2066,7
Dhading,Bagmati,Hill,Central,2010,2067,12
Dhading,Bagmati,Hill,Central,2011,2068,4
Dhading,Bagmati,Hill,Central,2012,2069,3
Dhading,Bagmati,Hill,Central,2013,2070,1
Dhankuta,Kosi,Hill,Eastern,2008,2065,8
Dhankuta,Kosi,Hill,Eastern,2009,2066,19
Dhankuta,Kosi,Hill,Eastern,2010,2067,17
Dhankuta,Kosi,Hill,Eastern,2011,2068,20
Dhankuta,Kosi,Hill,Eastern,2012,2069,14
Dhankuta,Kosi,Hill,Eastern,2013,2070,5
Dhanusa,Janakpur,Terai,Central,2008,2065,35
Dhanusa,Janakpur,Terai,Central,2009,2066,13
Dhanusa,Janakpur,Terai,Central,2010,2067,15
Dhanusa,Janakpur,Terai,Central,2011,2068,10
Dhanusa,Janakpur,Terai,Central,2012,2069,17
Dhanusa,Janakpur,Terai,Central,2013,2070,12
Dolakha,Janakpur,Mountain,Central,2008,2065,2
Dolakha,Janakpur,Mountain,Central,2009,2066,7
Dolakha,Janakpur,Mountain,Central,2010,2067,8
Dolakha,Janakpur,Mountain,Central,2011,2068,2
Dolakha,Janakpur,Mountain,Central,2012,2069,0
Dolakha,Janakpur,Mountain,Central,2013,2070,0
Dolpa,Karnali,Mountain,Mid-Western,2008,2065,0
Dolpa,Karnali,Mountain,Mid-Western,2009,2066,4
Dolpa,Karnali,Mountain,Mid-Western,2010,2067,11
Dolpa,Karnali,Mountain,Mid-Western,2011,2068,0
Dolpa,Karnali,Mountain,Mid-Western,2012,2069,1
Dolpa,Karnali,Mountain,Mid-Western,2013,2070,0
Doti,Seti,Hill,Far-Western,2008,2065,1
Doti,Seti,Hill,Far-Western,2009,2066,5
Doti,Seti,Hill,Far-Western,2010,2067,16
Doti,Seti,Hill,Far-Western,2011,2068,9
Doti,Seti,Hill,Far-Western,2012,2069,7
Doti,Seti,Hill,Far-Western,2013,2070,0
Gorkha,Gandaki,Hill,Western,2008,2065,0
Gorkha,Gandaki,Hill,Western,2009,2066,8
Gorkha,Gandaki,Hill,Western,2010,2067,12
Gorkha,Gandaki,Hill,Western,2011,2068,6
Gorkha,Gandaki,Hill,Western,2012,2069,0
Gorkha,Gandaki,Hill,Western,2013,2070,0
Gulmi,Lumbini,Hill,Western,2008,2065,1
Gulmi,Lumbini,Hill,Western,2009,2066,10
Gulmi,Lumbini,Hill,Western,2010,2067,8
Gulmi,Lumbini,Hill,Western,2011,2068,7
Gulmi,Lumbini,Hill,Western,2012,2069,2
Gulmi,Lumbini,Hill,Western,2013,2070,1
Humla,Karnali,Mountain,Mid-Western,2008,2065,0
Humla,Karnali,Mountain,Mid-Western,2009,2066,4
Humla,Karnali,Mountain,Mid-Western,2010,2067,11
Humla,Karnali,Mountain,Mid-Western,2011,2068,0
Humla,Karnali,Mountain,Mid-Western,2012,2069,2
Humla,Karnali,Mountain,Mid-Western,2013,2070,3
Ilam,Mechi,Hill,Eastern,2008,2065,17
Ilam,Mechi,Hill,Eastern,2009,2066,16
Ilam,Mechi,Hill,Eastern,2010,2067,28
Ilam,Mechi,Hill,Eastern,2011,2068,29
Ilam,Mechi,Hill,Eastern,2012,2069,7
Ilam,Mechi,Hill,Eastern,2013,2070,7
Jajarkot,Bheri,Hill,Mid-Western,2008,2065,1
Jajarkot,Bheri,Hill,Mid-Western,2009,2066,4
Jajarkot,Bheri,Hill,Mid-Western,2010,2067,13
Jajarkot,Bheri,Hill,Mid-Western,2011,2068,0
Jajarkot,Bheri,Hill,Mid-Western,2012,2069,11
Jajarkot,Bheri,Hill,Mid-Western,2013,2070,0
Jhapa,Mechi,Terai,Eastern,2008,2065,35
Jhapa,Mechi,Terai,Eastern,2009,2066,30
Jhapa,Mechi,Terai,Eastern,2010,2067,36
Jhapa,Mechi,Terai,Eastern,2011,2068,49
Jhapa,Mechi,Terai,Eastern,2012,2069,36
Jhapa,Mechi,Terai,Eastern,2013,2070,11
Jumla,Karnali,Mountain,Mid-Western,2008,2065,0
Jumla,Karnali,Mountain,Mid-Western,2009,2066,4
Jumla,Karnali,Mountain,Mid-Western,2010,2067,11
Jumla,Karnali,Mountain,Mid-Western,2011,2068,0
Jumla,Karnali,Mountain,Mid-Western,2012,2069,4
Jumla,Karnali,Mountain,Mid-Western,2013,2070,2
Kailali,Seti,Terai,Far-Western,2008,2065,30
Kailali,Seti,Terai,Far-Western,2009,2066,29
Kailali,Seti,Terai,Far-Western,2010,2067,31
Kailali,Seti,Terai,Far-Western,2011,2068,34
Kailali,Seti,Terai,Far-Western,2012,2069,42
Kailali,Seti,Terai,Far-Western,2013,2070,9
Kalikot,Karnali,Mountain,Mid-Western,2008,2065,0
Kalikot,Karnali,Mountain,Mid-Western,2009,2066,6
Kalikot,Karnali,Mountain,Mid-Western,2010,2067,14
Kalikot,Karnali,Mountain,Mid-Western,2011,2068,2
Kalikot,Karnali,Mountain,Mid-Western,2012,2069,1
Kalikot,Karnali,Mountain,Mid-Western,2013,2070,1
Kanchanpur,Mahakali,Terai,Far-Western,2008,2065,19
Kanchanpur,Mahakali,Terai,Far-Western,2009,2066,23
Kanchanpur,Mahakali,Terai,Far-Western,2010,2067,26
Kanchanpur,Mahakali,Terai,Far-Western,2011,2068,18
Kanchanpur,Mahakali,Terai,Far-Western,2012,2069,22
Kanchanpur,Mahakali,Terai,Far-Western,2013,2070,8
Kapilbastu,Lumbini,Terai,Western,2008,2065,25
Kapilbastu,Lumbini,Terai,Western,2009,2066,27
Kapilbastu,Lumbini,Terai,Western,2010,2067,15
Kapilbastu,Lumbini,Terai,Western,2011,2068,9
Kapilbastu,Lumbini,Terai,Western,2012,2069,12
Kapilbastu,Lumbini,Terai,Western,2013,2070,5
Kaski,Gandaki,Hill,Western,2008,2065,2
Kaski,Gandaki,Hill,Western,2009,2066,9
Kaski,Gandaki,Hill,Western,2010,2067,12
Kaski,Gandaki,Hill,Western,2011,2068,5
Kaski,Gandaki,Hill,Western,2012,2069,8
Kaski,Gandaki,Hill,Western,2013,2070,0
Kathmandu,Bagmati,Hill,Central,2008,2065,15
Kathmandu,Bagmati,Hill,Central,2009,2066,6
Kathmandu,Bagmati,Hill,Central,2010,2067,28
Kathmandu,Bagmati,Hill,Central,2011,2068,20
Kathmandu,Bagmati,Hill,Central,2012,2069,33
Kathmandu,Bagmati,Hill,Central,2013,2070,10
Kavre,Bagmati,Hill,Central,2008,2065,6
Kavre,Bagmati,Hill,Central,2009,2066,6
Kavre,Bagmati,Hill,Central,2010,2067,9
Kavre,Bagmati,Hill,Central,2011,2068,5
Kavre,Bagmati,Hill,Central,2012,2069,6
Kavre,Bagmati,Hill,Central,2013,2070,1
Khotang,Sagarmatha,Hill,Eastern,2008,2065,7
Khotang,Sagarmatha,Hill,Eastern,2009,2066,8
Khotang,Sagarmatha,Hill,Eastern,2010,2067,12
Khotang,Sagarmatha,Hill,Eastern,2011,2068,7
Khotang,Sagarmatha,Hill,Eastern,2012,2069,0
Khotang,Sagarmatha,Hill,Eastern,2013,2070,2
Lalitpur,Bagmati,Hill,Central,2008,2065,3
Lalitpur,Bagmati,Hill,Central,2009,2066,5
Lalitpur,Bagmati,Hill,Central,2010,2067,9
Lalitpur,Bagmati,Hill,Central,2011,2068,9
Lalitpur,Bagmati,Hill,Central,2012,2069,7
Lalitpur,Bagmati,Hill,Central,2013,2070,0
Lamjung,Gandaki,Hill,Western,2008,2065,0
Lamjung,Gandaki,Hill,Western,2009,2066,9
Lamjung,Gandaki,Hill,Western,2010,2067,9
Lamjung,Gandaki,Hill,Western,2011,2068,8
Lamjung,Gandaki,Hill,Western,2012,2069,0
Lamjung,Gandaki,Hill,Western,2013,2070,0
Mahottari,Janakpur,Terai,Central,2008,2065,27
Mahottari,Janakpur,Terai,Central,2009,2066,39
Mahottari,Janakpur,Terai,Central,2010,2067,17
Mahottari,Janakpur,Terai,Central,2011,2068,2
Mahottari,Janakpur,Terai,Central,2012,2069,31
Mahottari,Janakpur,Terai,Central,2013,2070,2
Makwanpur,Narayani,Hill,Central,2008,2065,1
Makwanpur,Narayani,Hill,Central,2009,2066,8
Makwanpur,Narayani,Hill,Central,2010,2067,17
Makwanpur,Narayani,Hill,Central,2011,2068,11
Makwanpur,Narayani,Hill,Central,2012,2069,5
Makwanpur,Narayani,Hill,Central,2013,2070,0
Manang,Gandaki,Mountain,Western,2008,2065,0
Manang,Gandaki,Mountain,Western,2009,2066,5
Manang,Gandaki,Mountain,Western,2010,2067,7
Manang,Gandaki,Mountain,Western,2011,2068,2
Manang,Gandaki,Mountain,Western,2012,2069,0
Manang,Gandaki,Mountain,Western,2013,2070,0
Morang,Kosi,Terai,Eastern,2008,2065,34
Morang,Kosi,Terai,Eastern,2009,2066,36
Morang,Kosi,Terai,Eastern,2010,2067,32
Morang,Kosi,Terai,Eastern,2011,2068,31
Morang,Kosi,Terai,Eastern,2012,2069,16
Morang,Kosi,Terai,Eastern,2013,2070,13
Mugu,Karnali,Mountain,Mid-Western,2008,2065,0
Mugu,Karnali,Mountain,Mid-Western,2009,2066,4
Mugu,Karnali,Mountain,Mid-Western,2010,2067,11
